Year,Sheriffdom,Court,Postcode,X_Easting,Y_Northing,Latitude,Longitude,fp_ValImp,fp_ValPaid,fp_ValDis,cr_ValReg,cr_ValDis,cr_TotValtbp,cr_ValPaidtd,cr_Valpot,cr_ValArrears,cr_ValFinesptd_percent,fp_NumImp,fp_NumFullyPaid,fp_NumDischa,cr_NumReg,cr_NumDischa,cr_Numtbp,cr_NumFullyPaid,cr_Numpot,cr_NumArrears,cr_NumNoPayRec,cr_NumFullyPaid_percent
y18_19,Tayside Central & Fife,Falkirk,FK1 4AR,286891,680442,56.003535,-3.8153841,2 ,1 ,1 ,2 ,0 ,2 ,1 ,0 ,0 ,0.93 ,57,24,33,34,7,27,24,1,0,2,0.94 
y18_19,Tayside Central & Fife,Forfar,DD8 3LA,345737,751265,56.650029,-2.8865572,3 ,2 ,1 ,2 ,0 ,2 ,1 ,0 ,0 ,0.92 ,86,54,32,31,4,27,22,0,0,5,0.94 
y18_19,Tayside Central & Fife,Kirkcaldy,KY1 1XQ,327747,691349,56.109414,-3.1633624,2 ,1 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,1.00 ,42,28,14,15,9,6,6,0,0,0,1.00 
y18_19,Tayside Central & Fife,Perth,PH2 8NL,312063,723391,56.394568,-3.426134,7 ,4 ,3 ,4 ,0 ,4 ,3 ,0 ,0 ,0.97 ,170,96,74,64,5,59,55,0,0,4,0.97 
y18_19,Tayside Central & Fife,Stirling,FK8 1NH,279597,693782,56.121544,-3.9382803,3 ,1 ,1 ,1 ,0 ,1 ,1 ,0 ,0 ,0.96 ,65,36,29,24,3,21,19,0,1,1,0.96 
y19_20,Glasgow & Strathkelvin,Glasgow,G5 9DA,259022,664496,55.852989,-4.2536079,80 ,29 ,51 ,69 ,3 ,66 ,26 ,9 ,32 ,0.57 ,2005,735,1270,1157,49,1108,403,160,39,506,0.62 
y19_20,Grampian Highland & Islands,Aberdeen,AB10 1WP,394371,806359,57.14808,-2.0946643,32 ,20 ,12 ,16 ,1 ,16 ,10 ,1 ,4 ,0.85 ,789,495,294,273,14,259,169,13,6,71,0.88 
y19_20,Grampian Highland & Islands,Banff,AB45 1AU,368963,863907,57.663972,-2.5218647,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.94 ,25,20,5,4,0,4,3,1,0,0,0.96 
y19_20,Grampian Highland & Islands,Elgin,IV30 1BU,321739,862853,57.648763,-3.3128578,3 ,2 ,1 ,1 ,0 ,1 ,1 ,0 ,0 ,0.87 ,69,46,23,20,0,20,13,4,0,3,0.89 
y19_20,Grampian Highland & Islands,Fort William,PH33 6EE,209971,773649,56.815398,-5.1148998,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.86 ,21,16,5,4,0,4,2,0,0,2,0.90 
y19_20,Grampian Highland & Islands,Inverness,IV1 1AH,266984,846201,57.48646,-4.2204915,2 ,1 ,1 ,2 ,0 ,1 ,1 ,0 ,0 ,0.83 ,55,33,22,25,4,21,13,3,0,5,0.85 
y19_20,Grampian Highland & Islands,Kirkwall,KW15 1PD,344941,1010757,58.980401,-2.9595262,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.00 ,40,31,9,7,0,7,7,0,0,0,1.00 
y19_20,Grampian Highland & Islands,Lerwick,ZE1 0HD,447450,1141486,60.155106,-1.1471182,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.81 ,7,5,2,2,0,2,1,0,0,1,0.86 
y19_20,Grampian Highland & Islands,Lochmaddy,HS6 5AE,91715,868925,57.604613,-7.1632564,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.00 ,1,1,0,0,0,0,0,0,0,0,1.00 
y19_20,Grampian Highland & Islands,Peterhead,AB42 1TP,413246,846284,57.506562,-1.7805994,3 ,2 ,1 ,2 ,0 ,2 ,1 ,0 ,1 ,0.71 ,74,45,29,29,0,29,12,2,0,15,0.77 
y19_20,Grampian Highland & Islands,Portree,IV51 9EH,148181,843655,57.413284,-6.1949906,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.00 ,2,1,1,1,0,1,1,0,0,0,1.00 
y19_20,Grampian Highland & Islands,Stornoway,HS1 2JF,142571,932972,58.210091,-6.3842995,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.93 ,21,14,7,6,0,6,5,0,0,1,0.95 
y19_20,Grampian Highland & Islands,Tain,IV19 1AB,277995,882103,57.811835,-4.0551007,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.00 ,5,3,2,2,0,2,2,0,0,0,1.00 
y19_20,Grampian Highland & Islands,Wick,KW1 4AJ,336297,951073,58.443292,-3.0929368,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.40 ,4,2,2,2,0,2,0,1,0,1,0.50 
y19_20,North Strathclyde,Campbeltown,PA28 6AN,171820,620242,55.422797,-5.6073665,2 ,1 ,1 ,1 ,0 ,1 ,1 ,0 ,0 ,0.81 ,45,22,23,23,2,21,14,1,1,5,0.84 
y19_20,North Strathclyde,Dumbarton,G82 1QR,239824,675344,55.94436,-4.5663808,21 ,8 ,14 ,18 ,1 ,18 ,10 ,2 ,6 ,0.68 ,530,189,341,306,10,296,145,39,12,100,0.69 
y19_20,North Strathclyde,Dunoon,PA23 8BQ,217382,676935,55.950637,-4.9263184,1 ,0 ,1 ,1 ,0 ,1 ,1 ,0 ,0 ,1.00 ,21,8,13,9,0,9,9,0,0,0,1.00 
y19_20,North Strathclyde,Greenock,PA15 1TR,227427,676390,55.949459,-4.7653095,7 ,3 ,4 ,5 ,0 ,5 ,3 ,1 ,1 ,0.76 ,167,68,99,86,5,81,44,16,3,18,0.75 
y19_20,North Strathclyde,Kilmarnock,KA1 1ED,242635,637691,55.607305,-4.4996806,14 ,6 ,8 ,11 ,0 ,10 ,7 ,1 ,2 ,0.83 ,350,162,188,176,5,171,110,29,3,29,0.82 
y19_20,North Strathclyde,Lochgilphead,PA23 8BQ,217382,676935,55.950637,-4.9263184,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.29 ,0,0,0,2,0,2,0,0,1,1,0.00 
y19_20,North Strathclyde,Oban,PA34 4AL,185724,729696,56.410731,-5.4749228,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.92 ,16,9,7,6,0,6,5,0,0,1,0.93 
y19_20,North Strathclyde,Paisley,PA3 2HW,248161,664380,55.84865,-4.426872,22 ,10 ,12 ,16 ,1 ,16 ,8 ,2 ,6 ,0.68 ,549,239,310,270,10,260,116,36,6,102,0.71 
y19_20,"South Strathclyde, Dumfries & Galloway",Airdrie,ML6 6EE,276407,665402,55.865896,-3.9765052,13 ,5 ,8 ,11 ,0 ,11 ,4 ,2 ,5 ,0.59 ,326,130,196,185,8,177,65,34,4,74,0.64 
y19_20,"South Strathclyde, Dumfries & Galloway",Ayr,KA7 1EE,233271,621791,55.461472,-4.6385792,10 ,5 ,4 ,6 ,0 ,6 ,3 ,1 ,3 ,0.73 ,243,131,112,104,2,102,48,11,5,38,0.77 
y19_20,"South Strathclyde, Dumfries & Galloway",Dumfries,DG1 2AN,296977,576186,55.069413,-3.6148742,4 ,3 ,1 ,2 ,0 ,2 ,1 ,0 ,1 ,0.75 ,98,63,35,34,0,34,14,1,2,17,0.79 
